what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749050867621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050871028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050872159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749050878851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050881831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050883289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749050887002
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1749050888618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050890026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050892250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050892609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050896002
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749050898358
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749050898627
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749050902546
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749050926909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050959127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051011420
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1749051013371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051074374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051077523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051078555
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051080960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051081221
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051084338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1749051089817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051091948
